"Bill of Materials from SM1000-E.sch, 205 parts, as of 6/26/2015 2:19:28 PM"
"Part","Package","Sheet","Side","X (inch)","Y (inch)","X (mm)","Y (mm)","Angle",
"C57","CAPC1005X60N","2","Top","    2.0276","    3.2480","   51.5000","   82.5000"," 270.00"
"C58","CAPC1005X60N","2","Top","    2.4803","    2.0079","   63.0000","   51.0000","  90.00"
"C59","NICHICON-WX-6.3","2","Top","    2.3622","    2.2638","   60.0000","   57.5000","   0.00"
"C60","CAP-CHEMI-HA0","2","Top","    2.0039","    2.9331","   50.9000","   74.5000","   0.00"
"C61","CAPC1005X60N","2","Top","    2.1457","    1.6732","   54.5000","   42.5000","  90.00"
"C62","CAPC1005X60N","2","Top","    1.8622","    2.2165","   47.3000","   56.3000"," 270.00"
"C63","CAP-CHEMI-HA0","2","Top","    0.5315","    0.9055","   13.5000","   23.0000","   0.00"
"C64","CAPC3225X168N","2","Top","    1.9094","    2.5394","   48.5000","   64.5000","  90.00"
"C65","CAPC1608X92N","2","Top","    2.0472","    2.5197","   52.0000","   64.0000","  90.00"
"C66","CAPC1005X60N","2","Top","    2.1457","    2.5197","   54.5000","   64.0000","  90.00"
"C70","CAPC3225X168N","2","Top","    0.1378","    1.9882","    3.5000","   50.5000"," 180.00"
"CN1","HDR100-3","1","Top","    0.4724","    3.0118","   12.0000","   76.5000","  90.00"
"CN2","JI-MU3-002","1","Bottom","    1.1024","    3.7677","   28.0000","   95.7000","   0.00"
"CN3","DS-0518","2","Top","    0.3150","    0.3543","    8.0000","    9.0000","  90.00"
"CN4","CONN-RJ45-MOLEX-44144-003","2","Top","    1.0827","    0.4134","   27.5000","   10.5000","   0.00"
"CN5","ST-3509","2","Bottom","    0.5630","    0.2953","   14.3000","    7.5000"," 270.00"
"CN6","ST-3509","2","Bottom","    2.3425","    0.2953","   59.5000","    7.5000"," 270.00"
"CN7","ST-3509","2","Bottom","    1.8976","    0.2953","   48.2000","    7.5000"," 270.00"
"CN8","ST-3509","2","Bottom","    1.0079","    0.2953","   25.6000","    7.5000"," 270.00"
"CN9","ST-3509","2","Bottom","    1.4528","    0.2953","   36.9000","    7.5000"," 270.00"
"CN10","ST-3509","2","Bottom","    0.2874","    2.4921","    7.3000","   63.3000","   0.00"
"CN11","HDR100-3","1","Top","    1.6024","    3.0906","   40.7000","   78.5000"," 270.00"
"CN12","HRS-A3C-16DA","2","Top","    1.0827","    0.9055","   27.5000","   23.0000","   0.00"
"D1","SOD128","2","Bottom","    0.2165","    0.3740","    5.5000","    9.5000"," 270.00"
"D2","SOD323R_INFINEON","2","Top","    0.0827","    1.0551","    2.1000","   26.8000"," 270.00"
"D3","SOD128","2","Bottom","    1.2008","    0.4134","   30.5000","   10.5000"," 270.00"
"D4","SOD523","2","Bottom","    1.3386","    0.6299","   34.0000","   16.0000","   0.00"
"D5","SOD523","2","Bottom","    1.7126","    0.2953","   43.5000","    7.5000"," 270.00"
"D6","SOD523","2","Bottom","    2.1457","    0.2953","   54.5000","    7.5000"," 270.00"
"D7","SOD523","2","Bottom","    0.2008","    2.6929","    5.1000","   68.4000","  90.00"
"D8","SOD523","2","Bottom","    0.3858","    0.3504","    9.8000","    8.9000"," 270.00"
"FB1","FE0805","2","Top","    2.1654","    0.9252","   55.0000","   23.5000"," 270.00"
"FB2","FE0805","2","Top","    1.5945","    1.1417","   40.5000","   29.0000"," 270.00"
"FB3","FE0805","2","Top","    1.4764","    1.1417","   37.5000","   29.0000"," 270.00"
"FB4","FE0805","2","Top","    1.5748","    1.8543","   40.0000","   47.1000","  90.00"
"FB5","FE0805","2","Top","    0.2559","    1.0433","    6.5000","   26.5000"," 180.00"
"FB6","FE0805","2","Top","    1.2402","    1.6142","   31.5000","   41.0000","   0.00"
"FB7","FE0805","1","Top","    1.3583","    2.3031","   34.5000","   58.5000","   0.00"
"FB8","FE0805","2","Top","    1.3583","    2.1811","   34.5000","   55.4000","   0.00"
"J1","JMPR-2PIN","1","Top","    1.7598","    3.3071","   44.7000","   84.0000","   0.00"
"J2","JMPR-2PIN","2","Top","    0.7874","    1.4173","   20.0000","   36.0000"," 180.00"
"J3","JMPR-2PIN","2","Top","    1.9567","    2.3228","   49.7000","   59.0000","  90.00"
"J4","CONN-BOOM-XH-2A","2","Top","    1.0630","    1.3976","   27.0000","   35.5000"," 180.00"
"L1","SRR5028","2","Top","    0.1969","    1.4173","    5.0000","   36.0000"," 270.00"
"LD2","LTV-817S","2","Top","    1.0433","    1.1614","   26.5000","   29.5000"," 270.00"
"LED1","LTST-S2200K","1","Top","    1.6929","    3.8780","   43.0000","   98.5000"," 270.00"
"LED2","LTST-S2200K","1","Top","    1.4764","    3.8780","   37.5000","   98.5000"," 270.00"
"LED3","LTST-S2200K","1","Top","    1.2598","    3.8780","   32.0000","   98.5000"," 270.00"
"LED4","LTST-S2200K","1","Top","    1.0433","    3.8780","   26.5000","   98.5000"," 270.00"
"LED5","SML-LX0603SRW","1","Top","    0.9685","    2.2736","   24.6000","   57.7500"," 180.00"
"LED8","SML-LX0603SRW","2","Top","    0.5709","    1.5157","   14.5000","   38.5000","   0.00"
"MIC1","CMA-4544PF-W","2","Top","    1.2992","    1.9094","   33.0000","   48.5000","  90.00"
"P1","TPAD50","2","Bottom","    1.3780","    2.8937","   35.0000","   73.5000","   0.00"
"P2","TPAD50","2","Bottom","    1.7913","    2.7953","   45.5000","   71.0000","   0.00"
"P3","TPAD50","2","Bottom","    1.7913","    2.8937","   45.5000","   73.5000","   0.00"
"P4","TPAD50","2","Bottom","    1.3780","    2.9724","   35.0000","   75.5000","   0.00"
"P5","TPAD50","1","Bottom","    0.9843","    2.9748","   25.0000","   75.5600","   0.00"
"P6","TPAD50","1","Bottom","    0.9843","    2.8543","   25.0000","   72.5000","   0.00"
"P7","TPAD50","1","Bottom","    1.0827","    2.9724","   27.5000","   75.5000","   0.00"
"P8","TPAD50","1","Bottom","    1.0827","    2.8543","   27.5000","   72.5000","   0.00"
"P9","TPAD50","1","Bottom","    1.2598","    3.0906","   32.0000","   78.5000","   0.00"
"P10","TPAD50","1","Bottom","    1.1811","    3.0906","   30.0000","   78.5000","   0.00"
"P11","TPAD50","1","Bottom","    1.1024","    3.0906","   28.0000","   78.5000","   0.00"
"P12","TPAD50","1","Bottom","    1.0236","    3.0906","   26.0000","   78.5000","   0.00"
"P13","TPAD50","1","Top","    0.1102","    3.8189","    2.8000","   97.0000"," 180.00"
"P14","TPAD50","1","Top","    0.1102","    3.7402","    2.8000","   95.0000","   0.00"
"P16","TPAD50","1","Top","    0.2362","    3.7402","    6.0000","   95.0000","   0.00"
