Bill of Materials from SM2000.sch, 407 parts, grouped by values, as of 1/28/2016 6:16:19 PM

Part	Value			Device			Package
C129	10uF,25V,EL		CAP-10UF-WJ5		NICHICON-WJ-5		
C130	10uF,25V,EL		CAP-10UF-WJ5		NICHICON-WJ-5		
C136	10uF,25V,EL		CAP-10UF-WJ5		NICHICON-WJ-5
C123	27pF,50V		CAP-0805		C0805
C124	150pF,50V		CAP-0805		C0805			
C128	150pF,50V		CAP-0805		C0805
CN1	HDR100-3		HDR100-3		HDR100-3		
CN3	HDR100-3		HDR100-3		HDR100-3
CN2	ST-3509			ST-3509			ST-3509			
CN6	ST-3509			ST-3509			ST-3509			
CN7	ST-3509			ST-3509			ST-3509
CN4	JS-MU3-002		JS-MU3-002		JI-MU3-002
CN5	DS-0518			DS-0518			DS-0518
D1	DNL			PESD5ZX			SOD523			
D2	DNL			PESD5ZX			SOD523
D3	PTVS20VP1UP		PTVS20VP1UP		SOD128
D4	BAT60J			BAT60J			SOD323R_INFINEON
D5	DNL			PTVS20VP1UP		SOD128
D6	BAR64-02V		BAR64-02V		SC79_INFINEON		
D7	BAR64-02V		BAR64-02V		SC79_INFINEON		
D8	BAR64-02V		BAR64-02V		SC79_INFINEON		
D9	BAR64-02V		BAR64-02V		SC79_INFINEON
D10	BAT18			BAT18			SOT23
FB1	FB0805			FB0805			FE0805			
FB2	FB0805			FB0805			FE0805			
FB3	FB0805			FB0805			FE0805			
FB4	FB0805			FB0805			FE0805			
FB5	FB0805			FB0805			FE0805			
FB6	FB0805			FB0805			FE0805			
FB7	FB0805			FB0805			FE0805			
FB8	FB0805			FB0805			FE0805			
FB9	FB0805			FB0805			FE0805			
FB10	FB0805			FB0805			FE0805			
FB11	FB0805			FB0805			FE0805			
FB12	FB0805			FB0805			FE0805			
FB13	FB0805			FB0805			FE0805			
FB14	FB0805			FB0805			FE0805			
FB15	FB0805			FB0805			FE0805			
FB16	FB0805			FB0805			FE0805			
FB17	FB0805			FB0805			FE0805			
FB18	FB0805			FB0805			FE0805			
FB19	FB0805			FB0805			FE0805			
FB20	FB0805			FB0805			FE0805
J1	JMP-2PIN		JMP-2PIN		JMPR-2PIN		
J3	JMP-2PIN		JMP-2PIN		JMPR-2PIN		
J5	JMP-2PIN		JMP-2PIN		JMPR-2PIN
J2	HDR100-7		HDR100-7		HDR100-7
J4	CONN-BOOM-XH-2A		CONN-BOOM-XH-2A		CONN-BOOM-XH-2A
J6	JMPR-2X2		JMPR-2X2		JMPR-2X2X.1		
J7	JMPR-2X2		JMPR-2X2		JMPR-2X2X.1		
J8	JMPR-2X2		JMPR-2X2		JMPR-2X2X.1		
J9	JMPR-2X2		JMPR-2X2		JMPR-2X2X.1		
J10	JMPR-2X2		JMPR-2X2		JMPR-2X2X.1		
J11	JMPR-2X2		JMPR-2X2		JMPR-2X2X.1		
J12	JMPR-2X2		JMPR-2X2		JMPR-2X2X.1		
J13	JMPR-2X2		JMPR-2X2		JMPR-2X2X.1		
J14	JMPR-2X2		JMPR-2X2		JMPR-2X2X.1
L1	4.2uH			SRR5028			SRR5028
L2	68nH			L-ROWE_15X10		L10X15			
L3	68nH			L-ROWE_15X10		L10X15			
L5	68nH			L-ROWE_15X10		L10X15			
L8	68nH			L-ROWE_15X10		L10X15
L4	57nH			L-ROWE_15X10		L10X15			
L14	57nH			L-ROWE_15X10		L10X15			
L16	57nH			L-ROWE_15X10		L10X15
L6	168nH			L-ROWE_15X10		L10X15
L7	260nH			L-US0204/5		0204/5
L9	54nH			L-ROWE_15X10		L10X15
L10	53nH 3T 5mm ID		L-ROWE_15X10		L10X15
L11	220nH			L-ROWE_15X10		L10X15
L12	RFC			RFC			Z15/4			
L13	RFC			RFC			Z15/4			
L15	RFC			RFC			Z15/4
L17	5.7uH			L-TDK-MLF-2012		L-TDK-MLF2012
L18	L-TDK-MLF-2012-9.2uH	L-TDK-MLF-2012		L-TDK-MLF2012
L19	5.2uH			L-TDK-MLF-2012		L-TDK-MLF2012
L20	15uH			L-TDK-MLF-2012		L-TDK-MLF2012
LED1	LTST-S220KGKT		LTST-S220K		LTST-S2200K		
LED3	LTST-S220KGKT		LTST-S220K		LTST-S2200K
LED2	LTST-S220KRKT		LTST-S220K		LTST-S2200K		
LED4	LTST-S220KRKT		LTST-S220K		LTST-S2200K
LED5	SML-LX0603GW		SML-LX0603SRW		SML-LX0603SRW		
LED6	SML-LX0603GW		SML-LX0603SRW		SML-LX0603SRW		
LED7	SML-LX0603GW		SML-LX0603SRW		SML-LX0603SRW		
LED8	SML-LX0603GW		SML-LX0603SRW		SML-LX0603SRW		
LED10	SML-LX0603GW		SML-LX0603SRW		SML-LX0603SRW
LED9	SML-LX0603SRW		SML-LX0603SRW		SML-LX0603SRW
LED11	SML-LX0603YW		SML-LX0603SRW		SML-LX0603SRW
MIC1	CMA-4544PF-W		CMA-4544PF-W		CMA-4544PF-W
P1	TPAD50			TPAD50			TPAD50			
P2	TPAD50			TPAD50			TPAD50			
P3	TPAD50			TPAD50			TPAD50			
P4	TPAD50			TPAD50			TPAD50			
P5	TPAD50			TPAD50			TPAD50			
P6	TPAD50			TPAD50			TPAD50			
P7	TPAD50			TPAD50			TPAD50			
P8	TPAD50			TPAD50			TPAD50			
P9	TPAD50			TPAD50			TPAD50			
P10	TPAD50			TPAD50			TPAD50
PCB1	SM2000A			PCB			NOPACKAGE
Q1	MMBT3904		MMBT3904		SOT23			
Q3	MMBT3904		MMBT3904		SOT23			
Q5	MMBT3904		MMBT3904		SOT23			
Q6	MMBT3904		MMBT3904		SOT23			
Q7	MMBT3904		MMBT3904		SOT23			
Q8	MMBT3904		MMBT3904		SOT23			
Q9	MMBT3904		MMBT3904		SOT23			
Q10	MMBT3904		MMBT3904		SOT23			
Q14	MMBT3904		MMBT3904		SOT23			
Q15	MMBT3904		MMBT3904		SOT23			
Q16	MMBT3904		MMBT3904		SOT23
Q2	STR2P3LLH6		STR2P3LLH6		SOT23			
Q4	STR2P3LLH6		STR2P3LLH6		SOT23
Q11	BFR92			BFR92			SOT23
Q12	BFQ19			BFQ19			SOT89
