"Bill of Materials from SM1000.sch, 138 parts, grouped by values, as of 4/9/2014 8:29:40 PM",,,,,,,,,,
,,,,,,,,,,
Part,Qty,DEFINITION,MANUFACTURER,MFG_NUMBER,DISTRIBUTOR,DIST_NUMBER,GENERIC,ROHS,COST100,COST EXT
"R1, R2, R3",3,RES 4.70K OHM 1/10W 1% 0603 SMD,VISHAY-DALE,CRCW06034K70FKEA,DIGIKEY,541-4.70KHCT-ND,Y,Y,0.025,0.075
"R4, R5, R6, R9, R44, R45, R47",7,RES 10.0K OHM 1/10W 1% 0603 SMD,VISHAY/DALE,CRCW060310K0FKEA,DIGIKEY,541-10.0KHCT-ND,Y,Y,0.025,0.175
"R7, R12, R14",3,RES 330 OHM 1/10W 1% 0603 SMD,VISHAY-DALE,CRCW0603330RFKEA,DIGIKEY,541-330HCT-ND,Y,Y,0.025,0.075
"R8, R11, R13, R19, R21, R22, R23, R24, R25, R26, R27",11,RES 22.0 OHM 1/10W 1% 0603 SMD,VISHAY-DALE,CRCW060322R0FKEA,DIGIKEY,541-22.0HCT-ND,Y,Y,0.025,0.275
"R10, R16, R20, R31",4,RES 0.0 OHM 1/10W JUMP 0603 SMD,VISHAY-DALE,CRCW06030000Z0EA,DIGIKEY,541-0.0GCT-ND,Y,Y,0.023,0.092
R15,1,RES 220K OHM 1/10W 1% 0603 SMD,VISHAY-DALE,CRCW0603220KFKEA,DIGIKEY,541-220KHCT-ND,Y,Y,0.025,0.025
R17,1,RES 47.0K OHM 1/10W 1% 0603 SMD,VISHAY-DALE,CRCW060347K0FKEA,DIGIKEY,541-47.0KHCT-ND,G,Y,0.025,0.025
"R18, R40, R51",3,RES 100K OHM 1/10W 1% 0603 SMD,VISHAY/DALE,CRCW0603100KFKEA,DIGIKEY,541-100KHCT-ND,Y,Y,0.025,0.075
"R28, R29, R30, R38, R49, R50",6,RES 1.00K OHM 1/10W 1% 0603 SMD,VISHAY-DALE,CRCW06031K00FKEA,DIGIKEY,541-1.00KHCT-ND,Y,Y,0.025,0.150
R32,1,RES 220 OHM 1/10W 1% 0603 SMD,VISHAY DALE,CRCW0603220RFKEA,DIGIKEY,541-220HCT-ND,Y,Y,0.025,0.025
R33,1,RES 2.20K OHM 1/10W 1% 0603 SMD,VISHAY-DALE,CRCW06032K20FKEA,DIGIKEY,541-2.20KHDKR-ND,Y,Y,0.030,0.030
R34,1,RES 10.0K OHM 1/10W 1% 0603 SMD,VISHAY-DALE,CRCW060310K0FKEA,DIGIKEY,541-10.0KHCT-ND,Y,Y,0.025,0.025
