"Bill of Materials from SM1000.sch, 153 parts, grouped by values, as of 4/25/2014 10:35:43 AM"
"Part","Qty","DEFINITION","MANUFACTURER","MFG_NUMBER","DISTRIBUTOR","DIST_NUMBER","GENERIC","ROHS","COST100",
"LED6, LED7","2","LED ALINGAP GRN WHT DIFF 0603SMD","LITE-ON","SML-LX0603GW-TR","DIGIKEY","67-1549-1-ND","Y","Y","0.196"
"MIC1","1","MIC COND ANALOG OMNI -44DB","CUI","CMA-4544PF-W","DIGIKEY","102-1721-ND","N","Y","0.569"
"PCB1","1","PCB-SM1000, REV-A","?","?","PCB UNIVERSE","SM1000A","N","Y","5.76"
"Q1, Q2","2","TRANSISTOR NPN GP 40V SOT23","Micro Commercial Co","MMBT4401-TP","DIGIKEY","MMBT4401TPMSCT-ND","Y","Y","0.110"
"R1, R40","2","RES 100K OHM 1/10W 1% 0603 SMD","VISHAY/DALE","CRCW0603100KFKEA","DIGIKEY","541-100KHCT-ND","Y","Y","0.025"
"R2, R4, R5","3","RES 4.70K OHM 1/10W 1% 0603 SMD","VISHAY-DALE","CRCW06034K70FKEA","DIGIKEY","541-4.70KHCT-ND","Y","Y","0.025"
"R3, R7, R17, R38, R48, R49, R54","7","RES 1.00K OHM 1/10W 1% 0603 SMD","VISHAY-DALE","CRCW06031K00FKEA","DIGIKEY","541-1.00KHCT-ND","Y","Y","0.025"
"R6, R8, R9, R25, R42, R43, R44, R45","8","RES 10.0K OHM 1/10W 1% 0603 SMD","VISHAY/DALE","CRCW060310K0FKEA","DIGIKEY","541-10.0KHCT-ND","Y","Y","0.025"
"R10","1","RES 47.0 OHM 1/10W 1% 0603 SMD","VISHAY-DALE","CRCW060347R0FKEA","DIGIKEY","541-47.0HCT-ND","Y","Y","0.025"
"R12, R13, R15, R16, R19, R20, R21, R22, R24, R27, R28","11","RES 22.0 OHM 1/10W 1% 0603 SMD","VISHAY-DALE","CRCW060322R0FKEA","DIGIKEY","541-22.0HCT-ND","Y","Y","0.025"
"R14","1","RES 220 OHM 1/10W 1% 0603 SMD","VISHAY DALE","CRCW0603220RFKEA","DIGIKEY","541-220HCT-ND","Y","Y"," "
